Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
N Pooran (LSG),7,7,1,357,87*,59.5,171,208.77,0,4,0,28,31
B Sai Sudharsan (GT),6,6,0,329,82,54.83,217,151.61,0,4,0,31,13
MR Marsh (LSG),6,6,0,295,81,49.16,172,171.51,0,4,1,30,17
SA Yadav (MI),7,7,1,265,67,44.16,175,151.42,0,1,0,27,12
SS Iyer (PBKS),6,6,2,250,97*,62.5,122,204.91,0,3,1,16,20
V Kohli (RCB),6,6,2,248,67,62,173,143.35,0,3,0,20,10
TM Head (SRH),7,7,0,242,67,34.57,144,168.05,0,2,0,33,9
KL Rahul (DC),5,5,1,238,93*,59.5,154,154.54,0,2,0,18,12
YBK Jaiswal (RR),7,7,0,233,75,33.28,168,138.69,0,3,0,20,13
Abhishek Sharma (SRH),7,7,0,232,141,33.14,123,188.61,1,0,0,31,10
NT Tilak Varma (MI),7,6,1,231,59,46.2,163,141.71,0,2,0,19,10
SV Samson (RR),7,7,1,224,66,37.33,156,143.58,0,1,0,23,10
AM Rahane (KKR),7,7,1,221,61,36.83,149,148.32,0,2,0,19,14
JC Buttler (GT),6,6,1,218,73*,43.6,138,157.97,0,2,1,21,9
P Arya (PBKS),6,6,0,216,103,36,100,216,1,0,1,20,16
H Klaasen (SRH),7,7,1,210,37,35,132,159.09,0,0,0,18,10
PD Salt (RCB),6,6,0,208,65,34.66,112,185.71,0,2,0,25,13
Shubman Gill (GT),6,6,1,208,61*,41.6,139,149.64,0,2,0,22,6
AK Markram (LSG),7,7,0,208,58,29.71,138,150.72,0,2,0,21,9
RM Patidar (RCB),6,5,0,186,64,37.2,115,161.73,0,2,0,17,9
R Ravindra (CSK),7,7,1,186,65*,31,140,132.85,0,1,1,18,4
DC Jurel (RR),7,7,2,185,70,37,119,155.46,0,1,0,14,11
RD Rickelton (MI),7,7,1,180,62*,30,120,150,0,1,0,24,7
S Dube (CSK),7,7,2,180,43*,36,140,128.57,0,0,0,13,9
R Parag (RR),7,7,1,173,43*,28.83,117,147.86,0,0,0,11,12
A Raghuvanshi (KKR),6,6,1,170,50,34,119,142.85,0,1,0,18,5
N Rana (RR),7,7,1,168,81,28,92,182.6,0,2,0,21,7
SO Hetmyer (RR),7,7,1,164,52,27.33,108,151.85,0,1,0,11,9
Prabhsimran Singh (PBKS),6,6,0,163,69,27.16,98,166.32,0,1,1,21,7
AU Verma (SRH),7,6,1,159,74,31.8,85,187.05,0,1,0,8,14
SE Rutherford (GT),6,6,2,158,46,39.5,95,166.31,0,0,0,14,10
Abishek Porel (DC),6,6,1,156,49,31.2,109,143.11,0,0,1,15,5
T Stubbs (DC),6,6,4,152,38*,76,93,163.44,0,0,0,12,7
N Wadhera (PBKS),5,5,1,151,62,37.75,104,145.19,0,1,0,11,9
Q de Kock (KKR),7,7,1,143,97*,23.83,104,137.5,0,1,0,9,11
Ishan Kishan (SRH),7,7,2,138,106*,27.6,81,170.37,1,0,1,14,6
A Badoni (LSG),7,6,1,131,41,26.2,100,131,0,0,0,9,6
K Nitish Kumar Reddy (SRH),7,6,0,131,32,21.83,115,113.91,0,0,1,12,2
SP Narine (KKR),6,6,0,130,44,21.66,70,185.71,0,0,1,12,11
Naman Dhir (MI),7,6,2,130,46,32.5,73,178.08,0,0,1,12,6
MS Dhoni (CSK),7,7,4,130,30*,43.33,82,158.53,0,0,0,10,8
Shashank Singh (PBKS),6,5,3,126,52*,63,85,148.23,0,1,0,9,6
RD Gaikwad (CSK),5,5,0,122,63,24.4,81,150.61,0,2,1,14,4
VR Iyer (KKR),7,5,0,121,60,24.2,78,155.12,0,1,0,14,4
D Padikkal (RCB),6,6,1,119,40*,23.8,85,140,0,0,0,11,6
V Shankar (CSK),5,5,2,118,69*,39.33,91,129.67,0,1,0,8,3
RK Singh (KKR),7,6,3,116,38*,38.66,77,150.64,0,0,0,13,5
HH Pandya (MI),6,5,1,104,42,26,61,170.49,0,0,0,9,6
RR Pant (LSG),7,6,0,103,63,17.16,99,104.04,0,1,1,8,5
AR Patel (DC),6,5,0,101,34,20.2,56,180.35,0,0,0,13,4
AR Sharma (DC),5,4,2,99,66*,49.5,57,173.68,0,1,0,9,5
DA Miller (LSG),7,7,4,97,27*,32.33,73,132.87,0,0,0,9,3
DP Conway (CSK),3,3,0,94,69,31.33,74,127.02,0,1,0,9,2
TH David (RCB),6,4,3,92,37*,92,47,195.74,0,0,0,6,9
RA Jadeja (CSK),7,7,2,92,32*,18.4,80,115,0,0,1,5,3
WG Jacks (MI),6,6,1,91,36,18.2,76,119.73,0,0,0,7,4
KK Nair (DC),2,2,0,89,89,44.5,43,206.97,0,1,1,12,5
JM Sharma (RCB),6,4,1,88,40*,29.33,57,154.38,0,0,0,8,6
LS Livingstone (RCB),6,5,1,83,54,20.75,62,133.87,0,1,1,3,7
RG Sharma (MI),6,6,0,82,26,13.66,57,143.85,0,0,1,6,6
F du Plessis (DC),3,3,0,81,50,27,52,155.76,0,1,0,6,5
Abdul Samad (LSG),6,6,2,81,27,20.25,40,202.5,0,0,0,6,6
PJ Cummins (SRH),7,6,3,64,22*,21.33,40,160,0,0,0,5,5
M Shahrukh Khan (GT),6,4,2,62,36,31,34,182.35,0,0,0,4,5
MP Stoinis (PBKS),5,4,1,59,34*,19.66,40,147.5,0,0,0,2,6
RA Tripathi (CSK),5,5,0,55,23,11,57,96.49,0,0,0,6,1
J Fraser0McGurk (DC),6,6,0,55,38,9.16,52,105.76,0,0,2,7,2
V Nigam (DC),6,3,1,54,39,27,25,216,0,0,0,6,3
Washington Sundar (GT),2,2,0,51,49,25.5,32,159.37,0,0,0,5,2
SB Dubey (RR),4,3,1,44,34*,22,26,169.23,0,0,0,2,4
M Jansen (PBKS),6,4,2,43,34*,21.5,32,134.37,0,0,0,2,2
GJ Maxwell (PBKS),6,5,0,41,30,8.2,41,100,0,0,1,4,1
MJ Santner (MI),7,5,3,39,18*,19.5,29,134.48,0,0,0,2,3
AD Russell (KKR),7,5,0,34,17,6.8,31,109.67,0,0,0,3,3
R Tewatia (GT),6,4,1,30,24*,10,15,200,0,0,2,2,3
Ramandeep Singh (KKR),7,4,1,29,22,9.66,24,120.83,0,0,1,1,2
DL Chahar (MI),7,2,1,28,28*,28,16,175,0,0,1,2,2
PHKD Mendis (SRH),2,2,0,28,27,14,25,112,0,0,0,1,2
SK Rasheed (CSK),1,1,0,27,27,27,19,142.1,0,0,0,6,0
Sameer Rizvi (DC),2,2,0,24,20,12,19,126.31,0,0,0,2,1
KH Pandya (RCB),6,3,0,23,18,7.66,26,88.46,0,0,1,2,0
Rashid Khan (GT),6,3,1,22,12,11,10,220,0,0,0,1,2
Harshit Rana (KKR),7,4,1,22,10*,7.33,29,75.86,0,0,0,3,0
JC Archer (RR),7,4,1,21,16,7,14,150,0,0,1,0,2
HV Patel (SRH),6,3,1,20,12*,10,25,80,0,0,0,0,0
MK Pandey (KKR),1,1,0,19,19,19,14,135.71,0,0,0,2,1
Azmatullah Omarzai (PBKS),1,1,0,16,16,16,15,106.66,0,0,0,2,1
SN Thakur (LSG),7,4,2,14,6,7,11,127.27,0,0,1,2,0
R Ashwin (CSK),6,2,0,12,11,6,15,80,0,0,0,1,0
SM Curran (CSK),2,2,0,12,8,6,22,54.54,0,0,0,0,0
J Overton (CSK),2,1,1,11,11*,0,4,275,0,0,0,0,1
XC Bartlett (PBKS),1,1,0,11,11,11,15,73.33,0,0,0,1,0
Mohammed Shami (SRH),7,4,3,10,6*,10,10,100,0,0,0,1,0
PWA Mulder (SRH),1,1,0,9,9,9,11,81.81,0,0,0,1,0
Shahbaz Ahmed (LSG),1,1,0,9,9,9,8,112.5,0,0,0,1,0
PW Hasaranga (RR),5,2,0,8,4,4,9,88.88,0,0,0,0,0
M Theekshana (RR),7,3,2,8,5,8,18,44.44,0,0,0,0,0
K Rabada (GT),2,1,1,7,7*,0,5,140,0,0,0,0,1
DJ Hooda (CSK),3,3,0,7,4,2.33,18,38.88,0,0,1,1,0
Sandeep Sharma (RR),7,1,1,6,6*,0,5,120,0,0,0,0,0
Kuldeep Yadav (DC),6,2,0,6,5,3,6,100,0,0,0,1,0
Suryansh Shedge (PBKS),4,2,0,6,4,3,8,75,0,0,0,0,0
R Minz (MI),2,2,0,6,3,3,15,40,0,0,0,0,0
A Manohar (SRH),4,3,0,6,4,2,13,46.15,0,0,1,0,0
TU Deshpande (RR),6,3,2,6,3,6,6,100,0,0,0,0,0
MM Ali (KKR),3,1,0,5,5,5,12,41.66,0,0,0,0,0
LH Ferguson (PBKS),4,1,1,4,4*,0,1,400,0,0,0,1,0
A Kamboj (CSK),2,1,1,3,3*,0,3,100,0,0,0,0,0
MA Starc (DC),6,2,1,3,2,3,6,50,0,0,0,0,0
Simarjeet Singh (SRH),4,3,1,3,3*,1.5,7,42.85,0,0,2,0,0
JP Inglis (PBKS),1,1,0,2,2,2,6,33.33,0,0,0,0,0
TA Boult (MI),7,2,1,2,1*,2,3,66.66,0,0,0,0,0
Avesh Khan (LSG),6,2,2,2,2*,0,1,200,0,0,0,0,0
SH Johnson (KKR),4,2,2,2,1*,0,4,50,0,0,0,0,0
Arshdeep Singh (PBKS),6,2,1,2,1*,2,6,33.33,0,0,0,0,0
B Kumar (RCB),5,3,3,2,1*,0,8,25,0,0,0,0,0
R Sai Kishore (GT),6,1,0,1,1,1,1,100,0,0,0,0,0
K Kartikeya (RR),3,1,0,1,1,1,1,100,0,0,0,0,0
PVSN Raju (MI),2,1,1,1,1*,0,1,100,0,0,0,0,0
MM Sharma (DC),6,2,1,1,1*,1,3,33.33,0,0,1,0,0
Noor Ahmad (CSK),7,2,1,1,1,1,10,10,0,0,0,0,0
Arshad Khan (GT),4,2,2,1,1*,0,1,100,0,0,0,0,0
A Nortje (KKR),1,1,1,0,0*,0,0,0,0,0,0,0,0
JJ Bumrah (MI),3,1,1,0,0*,0,1,0,0,0,0,0,0
Ravi Bishnoi (LSG),7,1,0,0,0,0,2,0,0,0,1,0,0
Akash Deep (LSG),4,1,0,0,0,0,1,0,0,0,1,0,0
VG Arora (KKR),6,1,0,0,0,0,7,0,0,0,1,0,0
DS Rathi (LSG),7,1,1,0,0*,0,0,0,0,0,0,0,0

